Model,Input,Tag,R2,RMSE,MAE,training_time
TCN,both,clean,0.9764678,0.2950966,0.2009276,269.723443666667
TCN,both,augmented,0.9751598,0.2876011,0.2052322,277.499706791667
GRU,Area,augmented,0.9751202,0.2931212,0.2181655,1128.6172
TCN,Area,augmented,0.9716231,0.3093145,0.2268121,271.810005708333
GRU,both,clean,0.9656798,0.3563758,0.2625069,1261.9858
TCN,Area,clean,0.9562379,0.4024227,0.2856913,271.323449666667
GRU,PPG,clean,0.9453,0.4499111,0.3499218,1125.3312
CNN,both,clean,0.9403328,0.4698953,0.284974,198.067
GRU,both,augmented,0.9392155,0.45311,0.3008121,1201.8175
GRU,PPG,augmented,0.9100154,0.5509121,0.4006124,1048.5831
TCN,PPG,clean,0.9072925,0.585721,0.410575,298.665516458333
GRU,Area,clean,0.8891562,0.6404555,0.4764236,1545.8067
CNN,both,augmented,0.8866121,0.6187011,0.4452123,133.6441
TCN,PPG,augmented,0.8342122,0.7489124,0.5529164,271.507943041667
CNN,Area,clean,0.7517552,0.9584586,0.6302015,188.7931
CNN,Area,augmented,0.7481216,0.9215412,0.6834512,124.99
CNN,PPG,augmented,0.6416121,1.0977799,0.7938156,132.2255
CNN,PPG,clean,0.6292786,1.17127,0.7963005,130.0373
